ts,H,W,K,S,P,Cin,Cout,batch,ranks,px,py,halo,t_total,t_comp,t_comm,speedup,eff,host,speedup_calc,efficiency_calc,imgs_per_sec
2025-10-27T06:43:21.101762,2048,2048,7,1,3,1,1,1,1,1,1,3,84.41736350000429,84.41185449999466,0.0027984999906038865,nan,nan,LAPTOP-1J998LJ5,1.000000,1.000000,0.011846
2025-10-27T06:47:55.444948,2048,2048,7,1,3,1,1,1,2,2,1,3,42.8970638000028,42.81234899999981,0.08021074999851407,1.9678969263158401,0.9839484631579201,LAPTOP-1J998LJ5,1.967905,0.983953,0.023312
2025-10-27T06:54:48.911080,2048,2048,7,1,3,1,1,1,4,2,2,3,22.749258399999235,22.705520099996647,0.035402600005909335,3.7100110480965323,0.9275027620241331,LAPTOP-1J998LJ5,3.710774,0.927694,0.043957
2025-10-27T06:58:34.670114,2048,2048,7,1,3,1,1,1,8,4,2,3,13.523751600005198,13.383527999991202,0.09108249999553664,6.240871800689356,0.7801089750861695,LAPTOP-1J998LJ5,6.242156,0.780269,0.073944
2025-10-27T06:59:07.657729,2048,2048,7,1,3,1,1,1,16,4,4,3,11.877924000000348,11.716388200009533,0.06897699999535689,7.1056187933175465,0.44410117458234666,LAPTOP-1J998LJ5,7.107081,0.444193,0.084190
2025-10-27T07:00:00.452046,2048,2048,7,1,3,1,1,1,32,8,4,3,13.399166200004402,6.568983199991635,3.8516266500009806,6.298899404648946,0.19684060639527956,LAPTOP-1J998LJ5,6.300195,0.196881,0.074632
